SKIP,
-0.725848081,
-0.72584808,
-0.725848078,
-0.725848075,
-0.72584807,
-0.725848063,
-0.725848056,
-0.725848046,
-0.725848035,
-0.725848022,
-0.725848007,
-0.72584799,
-0.725847972,
-0.725847951,
-0.725847928,
-0.725847902,
-0.725847873,
-0.725847842,
-0.725847807,
-0.725847768,
-0.725847726,
-0.72584768,
-0.725847629,
-0.725847573,
-0.725847511,
-0.725847443,
-0.725847368,
-0.725847286,
-0.725847195,
-0.725847095,
-0.725846984,
-0.725846862,
-0.725846727,
-0.725846577,
-0.725846411,
-0.725846227,
-0.725846023,
-0.725845796,
-0.725845544,
-0.725845263,
-0.725844949,
-0.725844599,
-0.725844208,
-0.72584377,
-0.725843279,
-0.725842729,
-0.725842112,
-0.725841417,
-0.725840637,
-0.725839757,
-0.725838765,
-0.725837645,
-0.72583638,
-0.725834949,
-0.725833329,
-0.725831493,
-0.72582941,
-0.725827045,
-0.725824358,
-0.7258213,
-0.72581782,
-0.725813855,
-0.725809333,
-0.725804173,
-0.72579828,
-0.725791546,
-0.725783846,
-0.725775034,
-0.725764944,
-0.725753386,
-0.725740136,
-0.725724942,
-0.72570751,
-0.7256875,
-0.725664524,
-0.725638132,
-0.725607808,
-0.725572956,
-0.725532892,
-0.725486829,
-0.725433861,
-0.725372947,
-0.725302894,
-0.725222332,
-0.72512969,
-0.725023168,
-0.724900708,
-0.724759958,
-0.724598233,
-0.72441247,
-0.724199186,
-0.723954421,
-0.723673685,
-0.723351894,
-0.722983306,
-0.722561451,
-0.722079063,
-0.721527995,
-0.720899158,
-0.720182434,
-0.719366615,
-0.718439341,
-0.717387041,
-0.716194907,
-0.714846874,
-0.713325634,
-0.711612677,
-0.709688382,
-0.707532137,
-0.705122519,
-0.702437521,
-0.699454832,
-0.696152166,
-0.692507632,
-0.688500139,
-0.684109814,
-0.679318416,
-0.674109729,
-0.668469904,
-0.662387724,
-0.655854785,
-0.648865554,
-0.641417317,
-0.633509996,
-0.625145846,
-0.61632905,
-0.607065213,
-0.597360794,
-0.587222495,
-0.57665662,
-0.565668443,
-0.554261598,
-0.542437503,
-0.530194838,
-0.517529077,
-0.5044321,
-0.490891862,
-0.476892158,
-0.462412457,
-0.447427843,
-0.431909058,
-0.415822664,
-0.39913135,
-0.3817944,
-0.363768347,
-0.34500784,
-0.325466737,
-0.305099447,
-0.283862507,
-0.261716395,
-0.238627524,
-0.214570384,
-0.189529727,
-0.163502727,
-0.136500994,
-0.108552357,
-0.079702319,
-0.050015108,
-0.019574297,
0.011517041,
0.043136631,
0.075143729,
0.107380245,
0.139672234,
0.171831693,
0.203658655,
0.234943514,
0.26546957,
0.295015759,
0.323359516,
0.350279749,
0.375559878,
0.398990881,
0.420374312,
0.439525219,
0.456274925,
0.470473597,
0.481992572,
0.490726373,
0.496594379,
0.499542111,
0.499542111,
0.496594379,
0.490726373,
0.481992572,
0.470473597,
0.456274925,
0.439525219,
0.420374312,
0.398990881,
0.375559878,
0.350279749,
0.323359516,
0.295015759,
0.26546957,
0.234943514,
0.203658655,
0.171831693,
0.139672234,
0.107380245,
0.075143729,
0.043136631,
0.011517041,
-0.019574297,
-0.050015108,
-0.079702319,
-0.108552357,
-0.136500994,
-0.163502727,
-0.189529727,
-0.214570384,
-0.238627524,
-0.261716395,
-0.283862507,
-0.305099447,
-0.325466737,
