(),
(-0.0800776695515507+0.00000000000000j),
(0.0342677663305188-7.75432498345676e-19j),
(0.0316095676875536-3.03153880101244e-18j),
(0.0279028708613621-8.56930485532925e-18j),
(0.0243489239108610-1.98072270800541e-17j),
(0.0226678751484654-4.02918727708368e-17j),
(0.0240127714457964-7.39439120443106e-17j),
(0.0237549863979167-1.07525923643116e-16j),
(0.0128839171910098-8.97207514019024e-17j),
(0.00332286570134565-4.50475822314228e-17j),
(0.000513105989117500-1.71685385174153e-17j),
(4.61782833089310e-05-4.21492951982812e-18j),
(6.23692775945568e-07-3.35869598091344e-19j),
(-4.63684718874335e-07-5.55646339532428e-20j),
(-8.52294097049107e-08-2.06317386708770e-19j),
(-1.60561247020104e-08-2.85163012732757e-19j),
(-3.87424688156339e-09-3.57361828083086e-19j),
(-7.10497712120817e-10-2.89601079624259e-19j),
(-4.72600201058358e-11-1.03571762358860e-19j),
(-4.72600201058358e-11+1.03571762358860e-19j),
(-7.10497712120817e-10+2.89601079624259e-19j),
(-3.87424688156339e-09+3.57361828083086e-19j),
(-1.60561247020104e-08+2.85163012732757e-19j),
(-8.52294097049107e-08+2.06317386708770e-19j),
(-4.63684718874335e-07+5.55646339532428e-20j),
(6.23692775945568e-07+3.35869598091344e-19j),
(4.61782833089310e-05+4.21492951982812e-18j),
(0.000513105989117500+1.71685385174153e-17j),
(0.00332286570134565+4.50475822314228e-17j),
(0.0128839171910098+8.97207514019024e-17j),
(0.0237549863979167+1.07525923643116e-16j),
(0.0240127714457964+7.39439120443106e-17j),
(0.0226678751484654+4.02918727708368e-17j),
(0.0243489239108610+1.98072270800541e-17j),
(0.0279028708613621+8.56930485532925e-18j),
(0.0316095676875536+3.03153880101244e-18j),
(0.0342677663305188+7.75432498345676e-19j),
