SKIP,
(243.972061219435+0.00000000000000j),
(-193.567617821363+3.06095776038100e-15j),
(158.580156764094-8.23848450727651e-15j),
(-114.277539439316+1.58097908076476e-14j),
(72.8720021846068-2.35125260728198e-14j),
(-41.4055372547096+2.79318006254074e-14j),
(21.1150806162199-2.72940398718448e-14j),
(-9.73291633037982+2.30559275484986e-14j),
(4.08247703805520-1.84621436699969e-14j),
(-1.56796225426924+1.55548020720484e-14j),
(0.554561965947649-1.37618439580198e-14j),
(-0.181557339387197+1.10273695175420e-14j),
(0.0552792825430331-5.70282879316746e-15j),
(-0.0157194911608158-2.40874054632867e-15j),
(0.00419093244731172+1.17866526350800e-14j),
(-0.00105120405923387-1.95696094436959e-14j),
(0.000248778069956046+2.31802583943280e-14j),
(-5.53028897005703e-05-2.25985165852139e-14j),
(9.45996257195603e-06+2.07535131006425e-14j),
(9.45996257195603e-06-2.07535131006425e-14j),
(-5.53028897005703e-05+2.25985165852139e-14j),
(0.000248778069956046-2.31802583943280e-14j),
(-0.00105120405923387+1.95696094436959e-14j),
(0.00419093244731172-1.17866526350800e-14j),
(-0.0157194911608158+2.40874054632867e-15j),
(0.0552792825430331+5.70282879316746e-15j),
(-0.181557339387197-1.10273695175420e-14j),
(0.554561965947649+1.37618439580198e-14j),
(-1.56796225426924-1.55548020720484e-14j),
(4.08247703805520+1.84621436699969e-14j),
(-9.73291633037982-2.30559275484986e-14j),
(21.1150806162199+2.72940398718448e-14j),
(-41.4055372547096-2.79318006254074e-14j),
(72.8720021846068+2.35125260728198e-14j),
(-114.277539439316-1.58097908076476e-14j),
(158.580156764094+8.23848450727651e-15j),
(-193.567617821363-3.06095776038100e-15j),
